,Player,Points,Games
225,Austin Daye,163.66666666666666,72.0
226,Austin Rivers,492.7142857142857,76.0
227,Avery Bradley,715.4285714285714,77.0
228,Avery Johnson,457.1818181818182,82.0
229,Awvee Storey,47.666666666666664,26.0
230,Axel Toupane,24.5,21.0
231,B.J. Armstrong,512.4,82.0
232,B.J. Tyler,195.0,55.0
233,Bailey Howell*,1480.8333333333333,82.0
234,Barney Cable,314.1666666666667,75.0
235,Baron Davis,887.7647058823529,82.0
236,Barry Clemens,482.90909090909093,82.0
237,Barry Kramer,124.0,52.0
238,Barry Nelson,35.0,28.0
239,Barry Orms,181.0,64.0
240,Barry Stevens,2.0,2.0
241,Barry Sumpter,0.0,1.0
242,Barry Yates,69.0,24.0
243,Bart Kofoed,32.4,44.0
244,Bato Govedarica,75.0,23.0
245,Bayard Forrest,284.5,75.0
246,Belus Smawley,467.2,61.0
247,Ben Bentil,0.0,3.0
248,Ben Clyde,69.0,25.0
249,Ben Coleman,298.14285714285717,70.0
250,Ben Davis,13.5,20.0
251,Ben Gillery,25.0,24.0
252,Ben Gordon,1007.6363636363636,82.0
253,Ben Handlogten,81.5,21.0
254,Ben Hansbrough,57.0,28.0
255,Ben Kelso,85.0,46.0
256,Ben McDonald,265.25,81.0
257,Ben McLemore,685.5,82.0
258,Ben Poquette,421.9166666666667,82.0
259,Ben Uzoh,80.0,42.0
260,Ben Wallace,366.77777777777777,82.0
261,Ben Warley,294.7142857142857,79.0
262,Bennie Swain,265.0,58.0
263,Beno Udrih,415.5263157894737,80.0
264,Benoit Benjamin,536.5714285714286,83.0
265,Bernard James,67.66666666666667,46.0
266,Bernard King*,1403.9285714285713,82.0
267,Bernard Robinson,127.4,66.0
268,Bernard Thompson,215.6,61.0
269,Bernard Toone,55.0,23.0
270,Bernie Fryer,343.0,80.0
271,Bernie Harris,5.0,11.0
272,Bernie Williams,445.0,72.0
273,Bert Cook,118.0,37.0
274,Bevo Nordmann,125.625,58.0
275,Bill Bolger,56.0,20.0
276,Bill Bradley*,921.7,82.0
277,Bill Bridges,680.2105263157895,82.0
278,Bill Buntin,324.0,42.0
279,Bill Calhoun,455.5,72.0
280,Bill Cartwright,847.5333333333333,82.0
281,Bill Chamberlain,153.0,28.0
282,Bill Closs,556.3333333333334,65.0
283,Bill Curley,59.22222222222222,53.0
284,Bill Dinwiddie,243.5,69.0
285,Bill Ebben,15.0,8.0
286,Bill Edwards,6.0,3.0
287,Bill Gabor,499.5,69.0
288,Bill Garnett,409.5,80.0
289,Bill Hanzlik,541.4,82.0
290,Bill Henry,197.33333333333334,63.0
291,Bill Herman,56.0,13.0
292,Bill Hewitt,292.0,75.0
293,Bill Hosket,143.25,50.0
294,Bill Jones,129.0,37.0
295,Bill Laimbeer,906.75,82.0
296,Bill Ligon,126.0,38.0
297,Bill Martin,132.33333333333334,66.0
298,Bill Mayfield,17.0,7.0
299,Bill McGill,397.7142857142857,74.0
300,Bill Melchionni,320.0,73.0
301,Bill Mlkvy,181.0,31.0
302,Bill Roberts,182.0,67.0
303,Bill Robinzine,727.1111111111111,82.0
304,Bill Russell*,1117.076923076923,81.0
305,Bill Sharman*,1151.3636363636363,72.0
306,Bill Smith,23.0,9.0
307,Bill Stricker,4.0,1.0
308,Bill Thieben,168.5,58.0
309,Bill Tosheff,619.6666666666666,71.0
310,Bill Turner,215.6,79.0
311,Bill Walton*,621.5,80.0
312,Bill Wennington,253.92307692307693,77.0
313,Bill Willoughby,327.3,78.0
314,Bill Zopf,118.0,53.0
315,Billy Cunningham*,1514.0,82.0
316,Billy Donovan,105.0,44.0
317,Billy Hassett,169.25,60.0
318,Billy Kenville,405.6666666666667,72.0
